symbol,full_name,sector,sub_industry,date_first_added,cik
COTY,"Coty, Inc",Consumer Staples,Personal Products,1916-10-03,1024305
CCI,Crown Castle International Corp.,Real Estate,REITs,2012-03-14,1051470
CSRA,CSRA Inc.,Information Technology,IT Consulting & Services,2015-12-01,1646383
CSX,CSX Corp.,Industrials,Railroads,1967-09-30,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,1965-03-31,26172
CVS,CVS Health,Consumer Staples,Drug Retail,,64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,,882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31,927066
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,,315189
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,1521332
DAL,Delta Air Lines,Industrials,Airlines,2013-09-11,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,818479
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,,1090012
DLR,Digital Realty Trust,Real Estate,Specialized REITs,1916-05-18,1297996
DFS,Discover Financial Services,Financials,Consumer Finance,2007-07-02,1393612
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Sataellite,2010-03-01,1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Sataellite,2014-08-07,1437107
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19,935703
D,Dominion Resources,Utilities,Electric Utilities,,715957
DOV,Dover Corp.,Industrials,Industrial Machinery,1985-10-31,29905
DOW,Dow Chemical,Materials,Diversified Chemicals,,29915
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,2008-10-07,1418135
DTE,DTE Energy Co.,Utilities,MultiUtilities,,936340
DD,Du Pont (E.I.),Materials,Diversified Chemicals,,30554
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,1326160
DNB,Dun & Bradstreet,Industrials,Data Processing Services,2008-12-02,1115222
ETFC,E*Trade,Financials,Investment Banking & Brokerage,2004-03-31,1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,1994-01-01,915389
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,,1551182
EBAY,eBay Inc.,Information Technology,Internet Software & Services,,1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1989-01-31,31462
EIX,Edison Int'l,Utilities,Electric Utilities,,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,2011-04-01,1099800
EA,Electronic Arts,Information Technology,Home Entertainment Software,,712515
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,1965-03-31,32604
ENDP,Endo International,Health Care,Pharmaceuticals,2015-01-27,1100962
ETR,Entergy Corp.,Utilities,Electric Utilities,,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2008-12-19,33213
EFX,Equifax Inc.,Financials,Diversified Financial Services,,33185
EQIX,Equinix,Real Estate,REITs,2015-03-20,1101239
EQR,Equity Residential,Real Estate,REITs,,906107
ESS,Essex Property Trust Inc,Real Estate,Residential REITs,2014-04-02,920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,,1001250
ES,Eversource Energy,Utilities,MultiUtilities,,72741
EXC,Exelon Corp.,Utilities,MultiUtilities,,1109357
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,1324424
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,2007-10-10,746515
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,2003-09-25,1532063
EXR,Extra Space Storage,Real Estate,Specialized REITs,1916-01-19,1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,,34088
FFIV,F5 Networks,Information Technology,Networking Equipment,2010-12-20,1048695
FB,Facebook,Information Technology,Internet Software & Services,2013-12-23,1326801
FAST,Fastenal Co,Industrials,Building Products,2009-09-15,815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,1916-02-01,34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1980-12-31,1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,,1136893
FITB,Fifth Third Bancorp,Financials,Banks,,35527
FSLR,First Solar Inc,Information Technology,Semiconductors,2009-10-16,1274494
FE,FirstEnergy Corp,Utilities,Electric Utilities,,1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,,798354
FLIR,FLIR Systems,Industrials,Aerospace & Defense,2009-01-02,354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,2008-10-02,30625
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,1980-03-31,1124198
FMC,FMC Corporation,Materials,Diversified Chemicals,2009-08-19,37785
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,2009-06-05,1135152
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,1916-04-04,850209
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,,37996
FTV,Fortive Corp,Industrials,Industrial Machinery,1916-07-01,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,1916-06-22,1519751
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,38777
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,,831259
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,,20520
GPS,Gap (The),Consumer Discretionary,Apparel Retail,1986-08-31,39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,2012-12-12,1121788
GD,General Dynamics,Industrials,Aerospace & Defense,,40533
GE,General Electric,Industrials,Industrial Conglomerates,,40545
GGP,General Growth Properties Inc.,Real Estate,REITs,2013-12-10,895648
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06,1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31,40987
GILD,Gilead Sciences,Health Care,Biotechnology,,882095
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,1916-04-25,1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,,42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,1981-06-30,277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,,45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-03-20,1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,,793952
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,,800459
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,2008-09-22,202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,,874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1984-09-30,46080
HCA,HCA Holdings,Health Care,Health Care Facilities,2015-01-27,860730
HCP,HCP Inc.,Real Estate,REITs,2008-03-31,765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,,46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,1645590
HOLX,Hologic,Health Care,Health Care Equipment,1916-03-30,859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1964-03-31,773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,2009-03-04,48465
HST,Host Hotels & Resorts,Real Estate,REITs,2007-03-20,1070750
HPQ,HP Inc.,Information Technology,Computer Hardware,1974-12-31,47217
HUM,Humana Inc.,Health Care,Managed Health Care,,49071
HBAN,Huntington Bancshares,Financials,Banks,,49196
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,49826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2015-11-19,1110803
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,2010-11-17,1466258
INTC,Intel Corp.,Information Technology,Semiconductors,1976-12-31,50863
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,2007-09-26,1571949
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,,51143
IP,International Paper,Materials,Paper Products,,51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,1992-10-01,51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,51253
INTU,Intuit Inc.,Information Technology,Internet Software & Services,2000-12-05,896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,2008-06-02,1035267
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,2008-08-21,914208
IRM,Iron Mountain Incorporated,Real Estate,REITs,2009-01-06,1020569
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,2007-10-26,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,2015-07-01,728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06,91419
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,1973-06-30,200406
JCI,Johnson Controls International Plc,Consumer Discretionary,Building Products,2010-08-27,833444
JPM,JPMorgan Chase & Co.,Financials,Banks,1975-06-30,19617
JNPR,Juniper Networks,Information Technology,Networking Equipment,,1043604
KSU,Kansas City Southern,Industrials,Railroads,2013-05-24,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,,55067
KEY,KeyCorp,Financials,Banks,1994-03-01,91576
KMB,Kimberly-Clark,Consumer Staples,Household Products,,55785
KIM,Kimco Realty,Real Estate,REITs,,879101
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,2012-05-25,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,,319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,,885639
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06,1545158
KR,Kroger Co.,Consumer Staples,Food Retail,,56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1983-09-30,701985
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,707549
LM,Legg Mason,Financials,Asset Management & Custody Banks,,704051
